uid,archivo,fuente,video,t,ubicacion,grupo,split,md5,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
M_semaforo_t23m57_78s,M_semaforo_t23m57_78s.jpg,M,MARIO_47min,1437.78,,11,val,9e73fb65905b92435a66c8c33704df70,0,2,0,0,8,2,5,1,0,1,0,0
M_semaforo_t29m36_01s,M_semaforo_t29m36_01s.jpg,M,MARIO_47min,1776.01,,12,val,ed7f11c764a17a8ee827b14904c4f689,0,2,1,0,0,0,3,0,1,0,1,1
M_semaforo_t30m10_03s,M_semaforo_t30m10_03s.jpg,M,MARIO_47min,1810.03,,0,train,12f6027fb6b5dc5269f2a2a23f483372,0,2,0,0,0,0,3,0,0,0,0,2
M_semaforo_t30m59_98s,M_semaforo_t30m59_98s.jpg,M,MARIO_47min,1859.98,,0,train,4cfebac062e7458c725106535338e026,0,2,0,0,3,0,3,0,0,0,1,2
M_semaforo_t31m17_77s,M_semaforo_t31m17_77s.jpg,M,MARIO_47min,1877.77,,0,train,5c968058916ffe6c6ab625fdb21d8f62,0,1,0,0,0,1,3,0,0,1,0,2
M_semaforo_t31m34_04s,M_semaforo_t31m34_04s.jpg,M,MARIO_47min,1894.04,,0,train,a5a69521c344e7b5b980237e1a530cf0,0,2,0,0,1,0,0,0,0,1,0,1
M_semaforo_t34m35_81s,M_semaforo_t34m35_81s.jpg,M,MARIO_47min,2075.81,,1,train,56aa304625fec912213186becaee5c6a,0,1,1,0,3,1,5,0,1,0,0,0
M_semaforo_t35m12_17s,M_semaforo_t35m12_17s.jpg,M,MARIO_47min,2112.17,,1,train,224ce24cd5ab4754543ede140f1b3607,0,1,0,0,1,1,5,0,0,0,0,0
M_semaforo_t35m23_90s,M_semaforo_t35m23_90s.jpg,M,MARIO_47min,2123.9,,1,train,b7b2626517230e17adf7deb4cab0211a,0,2,0,0,1,0,1,0,1,0,1,5
M_semaforo_t37m55_82s,M_semaforo_t37m55_82s.jpg,M,MARIO_47min,2275.82,,1,train,f89a25c5dee72d87ca1b1528bee60acc,0,1,0,0,1,1,5,0,0,0,0,0
M_semaforo_t47m02_01s,M_semaforo_t47m02_01s.jpg,M,MARIO_47min,2822.01,,8,train,050c30f345ef48abcc31ee9da4b06cd5,0,1,0,0,8,0,2,0,0,2,0,0
M_semaforo_t47m03_91s,M_semaforo_t47m03_91s.jpg,M,MARIO_47min,2823.91,,8,train,1bd5c89ea489607bf6bba50e6850d9dc,0,1,0,2,6,0,2,0,0,0,2,0
M_pasoPeatonal_flechaRectaDerecha_flechaRecta_t40m39_10s,M_pasoPeatonal_flechaRectaDerecha_flechaRecta_t40m39_10s.jpg,M,MARIO_47min,2439.1,,13,train,e20db943fce34724174deb4e537e633e,0,1,1,2,2,0,0,0,0,0,0,3
M_pasoPeatonal_flechaRecta_t28m33_79s,M_pasoPeatonal_flechaRecta_t28m33_79s.jpg,M,MARIO_47min,1713.79,,14,val,574fc3f4da60a3c4cce7b5af9efe2018,0,1,2,1,3,0,3,0,1,0,0,1
M_pasoPeatonal_flechaRecta_t32m25_25s,M_pasoPeatonal_flechaRecta_t32m25_25s.jpg,M,MARIO_47min,1945.25,,0,train,9af2a01abe4e6aef60bdc84267d153f7,0,1,1,1,4,1,4,0,0,0,0,1
M_pasoPeatonal_semaforo_t04m12_02s,M_pasoPeatonal_semaforo_t04m12_02s.jpg,M,MARIO_47min,252.02,,6,test,22cb0cdfb0bb993ce30445d593894af0,0,1,0,0,1,0,4,0,0,0,1,1
M_pasoPeatonal_semaforo_t05m05_84s,M_pasoPeatonal_semaforo_t05m05_84s.jpg,M,MARIO_47min,305.84,,9,test,21f7c7ca0ec4b67beb0e7f880b91cfea,0,1,0,0,1,1,2,0,0,1,0,0
M_pasoPeatonal_semaforo_t20m33_88s,M_pasoPeatonal_semaforo_t20m33_88s.jpg,M,MARIO_47min,1233.88,,3,train,bf8a694b8d6fd0e5501e4e62b9c42dd3,0,1,0,0,3,2,3,0,1,1,0,0
M_pasoPeatonal_semaforo_t29m38_24s,M_pasoPeatonal_semaforo_t29m38_24s.jpg,M,MARIO_47min,1778.24,,12,val,d1be4ea5cc021bf4b66fbd55518b206a,0,1,0,0,0,0,3,0,1,0,1,0
M_pasoPeatonal_semaforo_t35m17_87s,M_pasoPeatonal_semaforo_t35m17_87s.jpg,M,MARIO_47min,2117.87,,1,train,27d758cab39135248642ee9bdf1994c3,0,2,0,1,1,1,3,0,1,1,0,1
M_pasoPeatonal_t22m32_04s,M_pasoPeatonal_t22m32_04s.jpg,M,MARIO_47min,1352.04,,0,train,7706b6efe54e34235761a8b5c9716c1c,0,1,0,0,1,0,11,0,0,0,0,0
M_pasoPeatonal_t27m46_24s,M_pasoPeatonal_t27m46_24s.jpg,M,MARIO_47min,1666.24,,15,test,c45ad705e0248de23c2d724cbd0e0926,0,1,0,1,4,0,1,0,0,0,0,0
M_pasoPeatonal_t27m48_24s,M_pasoPeatonal_t27m48_24s.jpg,M,MARIO_47min,1668.24,,15,test,1f3270e446898d27456c6812b622d675,0,2,0,0,2,0,4,0,0,0,0,1
M_pasoPeatonal_t27m59_74s,M_pasoPeatonal_t27m59_74s.jpg,M,MARIO_47min,1679.74,,15,test,37f8a36345219c5be5af6188b6e6a1a1,0,1,1,1,0,0,3,0,0,0,0,2
M_pasoPeatonal_t30m11_90s,M_pasoPeatonal_t30m11_90s.jpg,M,MARIO_47min,1811.9,,0,train,e26597cd07bc5dacab998e5defb43ee8,0,1,2,0,1,0,3,0,0,0,0,0
M_pasoPeatonal_t31m54_30s,M_pasoPeatonal_t31m54_30s.jpg,M,MARIO_47min,1914.3,,0,train,a10c93d8fca5105fc10353c1cead4d38,0,1,0,0,0,2,1,0,0,0,0,0
M_pasoPeatonal_t33m07_81s,M_pasoPeatonal_t33m07_81s.jpg,M,MARIO_47min,1987.81,,0,train,7f63e959de21551f4a525174a5533601,0,2,1,1,2,0,0,0,0,0,0,0
M_pasoPeatonal_t33m43_79s,M_pasoPeatonal_t33m43_79s.jpg,M,MARIO_47min,2023.79,,0,train,5c853e01dfc9c9713f88150fd021a0aa,0,1,0,0,0,1,4,1,0,0,0,1
M_pasoPeatonal_t35m27_90s,M_pasoPeatonal_t35m27_90s.jpg,M,MARIO_47min,2127.9,,1,train,76046b190cb23caa36c73b2a2359db5d,0,1,2,0,3,1,2,0,0,0,0,0
M_pasoPeatonal_t36m32_21s,M_pasoPeatonal_t36m32_21s.jpg,M,MARIO_47min,2192.21,,1,train,f6c49c23f8956fd7618456bbe61260bc,0,1,1,0,2,0,2,0,0,0,0,2
M_pasoPeatonal_t39m57_14s,M_pasoPeatonal_t39m57_14s.jpg,M,MARIO_47min,2397.14,,16,test,83e8c6d2a1938c73d797ba68c072a8d4,0,2,0,0,2,0,2,0,0,0,0,0
M_pasoPeatonal_t40m01_88s,M_pasoPeatonal_t40m01_88s.jpg,M,MARIO_47min,2401.88,,16,test,a734aef5a499157a4143102557f0d307,0,1,1,1,1,0,2,0,0,0,0,0
M_pasoPeatonal_t42m51_29s,M_pasoPeatonal_t42m51_29s.jpg,M,MARIO_47min,2571.29,,17,train,d6dcec8c933514a51f3431bc2edf3472,0,1,0,0,0,0,1,0,0,0,0,0
M_pasoPeatonal_t43m53_97s,M_pasoPeatonal_t43m53_97s.jpg,M,MARIO_47min,2633.97,,18,test,967ea00990e8a68dd2ca3cef126f1dcf,0,1,0,1,0,0,0,0,0,0,0,0
M_pasoPeatonal_t46m39_95s,M_pasoPeatonal_t46m39_95s.jpg,M,MARIO_47min,2799.95,,8,train,eb4a8107a3860d8e6a5d0fb5edd06145,0,1,0,0,2,1,3,0,1,0,0,0
M_pasoPeatonal_t46m43_75s,M_pasoPeatonal_t46m43_75s.jpg,M,MARIO_47min,2803.75,,8,train,b473faa665c43b82631ed85305fdce34,0,1,0,0,4,0,3,0,1,0,0,0
O_VID_20260912_145137682_0062,O_VID_20260912_145137682_0062.jpg,O,VID_20260912_145137682,62.0,,19,train,ef3a2f5d757ef41759a5de85de583815,0,0,1,1,1,1,7,0,6,0,0,0
O_VID_20260912_145137682_0063,O_VID_20260912_145137682_0063.jpg,O,VID_20260912_145137682,63.0,,19,train,6ebb4c81367526f7f4ef15c2263d70e9,0,0,1,1,2,1,5,0,6,0,0,0
O_VID_20260912_145137682_0099,O_VID_20260912_145137682_0099.jpg,O,VID_20260912_145137682,99.0,,20,train,e3d0a061b2acfb4a9a460590e6eefa72,0,2,1,0,6,0,2,0,3,0,0,0
O_VID_20260912_145137682_0100,O_VID_20260912_145137682_0100.jpg,O,VID_20260912_145137682,100.0,,20,train,5d7ae914f833d1cc385893c2d2845da9,0,3,1,0,2,0,2,0,3,0,0,0
O_VID_20260912_145137682_0119,O_VID_20260912_145137682_0119.jpg,O,VID_20260912_145137682,119.0,,20,train,065d953e145b84b913f1c03949c33089,0,0,3,0,1,0,4,0,2,0,0,0
O_VID_20260912_145137682_0120,O_VID_20260912_145137682_0120.jpg,O,VID_20260912_145137682,120.0,,20,train,31b24a2e77b437e4ea29272e5e75e2c9,0,0,3,0,0,0,4,0,1,0,0,0
O_VID_20260912_145137682_0121,O_VID_20260912_145137682_0121.jpg,O,VID_20260912_145137682,121.0,,20,train,25c21d0a2550302145df3b52ebb3ec2e,0,0,3,0,0,0,5,0,0,0,0,0
O_VID_20260912_145137682_0145,O_VID_20260912_145137682_0145.jpg,O,VID_20260912_145137682,145.0,,20,train,4b23931e9fc22b13bf119beb94d6b58d,0,0,2,0,4,0,3,0,2,0,0,0
O_VID_20260912_145137682_0163,O_VID_20260912_145137682_0163.jpg,O,VID_20260912_145137682,163.0,,20,train,dc6162939ccf04aeadf278ee1f8500a9,0,0,2,0,3,0,3,0,3,0,0,0
O_VID_20260912_145137682_0164,O_VID_20260912_145137682_0164.jpg,O,VID_20260912_145137682,164.0,,20,train,02ec5ca722f6d24317fb578103999fc1,0,0,1,0,3,1,3,0,2,0,0,0
O_VID_20260912_145137682_0194,O_VID_20260912_145137682_0194.jpg,O,VID_20260912_145137682,194.0,,20,train,7a1b418373eda9c257f40001650fe776,0,0,2,0,0,1,3,0,2,0,0,0
O_VID_20260912_145137682_0195,O_VID_20260912_145137682_0195.jpg,O,VID_20260912_145137682,195.0,,20,train,a148608756b092aae71649c3233fe9dd,0,0,2,0,0,0,2,0,2,0,0,0
O_VID_20260912_145137682_0210,O_VID_20260912_145137682_0210.jpg,O,VID_20260912_145137682,210.0,,20,train,6fe940052fe6d6614cec0105fc05a780,0,0,2,0,4,0,3,0,2,0,0,0
O_VID_20260912_145137682_0315,O_VID_20260912_145137682_0315.jpg,O,VID_20260912_145137682,315.0,,21,train,ba8507d9b2ef14e7505433f80d634deb,0,0,2,0,3,0,4,0,0,0,0,0
O_VID_20260912_145137682_0316,O_VID_20260912_145137682_0316.jpg,O,VID_20260912_145137682,316.0,,21,train,6ee42db171d09ae72754d41e27a81feb,0,0,2,0,3,0,5,0,0,0,0,0
O_VID_20260912_145137682_1063,O_VID_20260912_145137682_1063.jpg,O,VID_20260912_145137682,1063.0,,22,test,e62c1ada77f53e186a15bb786768f8da,0,2,1,1,1,0,8,0,0,0,0,0
O_VID_20260912_145137682_1064,O_VID_20260912_145137682_1064.jpg,O,VID_20260912_145137682,1064.0,,22,test,126662759fb8338a937780ea139dc300,0,2,1,1,1,0,6,0,0,0,0,0
O_VID_20260912_145137682_1089,O_VID_20260912_145137682_1089.jpg,O,VID_20260912_145137682,1089.0,,22,test,33cbd7560222e92f665d0ee174e741f8,0,0,3,0,1,0,7,0,0,0,0,0
O_VID_20260912_145137682_1090,O_VID_20260912_145137682_1090.jpg,O,VID_20260912_145137682,1090.0,,22,test,c3dbf127e9f2a5f1f0331dc7e7e6359e,0,0,2,0,1,0,8,0,0,0,0,0
O_VID_20260912_145137682_1275,O_VID_20260912_145137682_1275.jpg,O,VID_20260912_145137682,1275.0,,23,train,c4064761062532121c62cd29a40b9737,0,1,1,1,0,0,7,0,0,0,0,0
O_VID_20260912_145137682_1490,O_VID_20260912_145137682_1490.jpg,O,VID_20260912_145137682,1490.0,,24,val,23397079b4c180297843ff44235e9d8f,0,0,2,1,4,1,10,0,0,0,0,0
O_VID_20260912_145137682_1512,O_VID_20260912_145137682_1512.jpg,O,VID_20260912_145137682,1512.0,,24,val,d42a7f881dc697036da55726c05a7640,0,0,2,1,1,1,6,0,1,0,0,0
O_VID_20260912_145137682_1551,O_VID_20260912_145137682_1551.jpg,O,VID_20260912_145137682,1551.0,,25,test,5ed6ab469dc80cbca5041bc7969ffeb9,0,2,2,1,2,0,5,0,2,0,0,0
O_VID_20260912_145137682_1552,O_VID_20260912_145137682_1552.jpg,O,VID_20260912_145137682,1552.0,,25,test,25e18cd932f9995b633c0d40f7cd8678,0,2,2,1,3,0,9,0,0,0,0,0
O_VID_20260912_145137682_1560,O_VID_20260912_145137682_1560.jpg,O,VID_20260912_145137682,1560.0,,25,test,f990ada6e8d9fef82c6762ada923bb6f,0,0,3,0,1,0,9,0,0,0,0,0
O_VID_20260912_145137682_1568,O_VID_20260912_145137682_1568.jpg,O,VID_20260912_145137682,1568.0,,25,test,579c04919a512d6c4445d500bf4c4bf9,0,0,2,1,1,0,7,0,1,0,0,0
O_VID_20260912_145137682_1583,O_VID_20260912_145137682_1583.jpg,O,VID_20260912_145137682,1583.0,,25,test,df1e42cda0be899f91647e9490a4d9a4,0,0,2,1,3,0,16,0,0,0,0,0
O_VID_20260912_145137682_1631,O_VID_20260912_145137682_1631.jpg,O,VID_20260912_145137682,1631.0,,26,test,e28f3b97e4b118a3de063fab705b3ddf,0,0,1,1,1,0,8,0,0,0,0,0
O_VID_20260912_145137682_1863,O_VID_20260912_145137682_1863.jpg,O,VID_20260912_145137682,1863.0,,27,val,072e16639b5e0f5e572606c2bd4a3b13,0,0,2,1,0,0,5,0,0,0,0,0
O_VID_20260912_145137682_1864,O_VID_20260912_145137682_1864.jpg,O,VID_20260912_145137682,1864.0,,27,val,cb2dd3f57a09be4c600112db06beb9f1,0,0,2,1,0,0,6,0,1,0,0,0
O_VID_20260912_145137682_2571,O_VID_20260912_145137682_2571.jpg,O,VID_20260912_145137682,2571.0,,28,train,3d58be3ba0bc0fda8663c122b7db40eb,0,0,1,0,0,0,4,0,0,0,0,0
O_VID_20260912_145137682_2572,O_VID_20260912_145137682_2572.jpg,O,VID_20260912_145137682,2572.0,,28,train,279585bf6c04f039a571b6c811f8cd65,0,0,1,0,0,0,2,0,0,0,0,0
P_flechaRectaDerecha_flechaRecta_t20m53_90s,P_flechaRectaDerecha_flechaRecta_t20m53_90s.jpg,P,MARIO_47min,1253.9,,3,train,ac6f2cc956c5fd177c8bc03349fa9d3b,0,0,2,1,7,0,8,0,0,0,0,0
P_flechaRectaDerecha_flechaRecta_t28m32_29s,P_flechaRectaDerecha_flechaRecta_t28m32_29s.jpg,P,MARIO_47min,1712.29,,14,val,e752b654a587a646b3ab5848278decc7,0,1,1,1,0,0,1,0,0,0,0,0
P_flechaRectaDerecha_flechaRecta_t32m41_98s,P_flechaRectaDerecha_flechaRecta_t32m41_98s.jpg,P,MARIO_47min,1961.98,,0,train,a0f6d92ff44b8b0677fbf12fb132edb3,0,0,1,1,0,0,2,1,0,0,0,0
P_flechaRectaDerecha_flechaRecta_t32m42_78s,P_flechaRectaDerecha_flechaRecta_t32m42_78s.jpg,P,MARIO_47min,1962.78,,0,train,5f9989c5fd31b98f46aba435d214de1b,0,0,1,1,0,0,2,1,0,0,0,0
P_flechaRectaDerecha_flechaRecta_t33m09_97s,P_flechaRectaDerecha_flechaRecta_t33m09_97s.jpg,P,MARIO_47min,1989.97,,0,train,49bc3c2871e3909760c26f225e14ac07,0,0,1,1,1,0,0,0,0,0,0,0
P_flechaRectaDerecha_flechaRecta_t33m34_00s,P_flechaRectaDerecha_flechaRecta_t33m34_00s.jpg,P,MARIO_47min,2014.0,,0,train,0707c0f53a55102b300833999d7ef02e,0,0,1,1,0,0,4,1,0,0,0,0
P_flechaRectaDerecha_flechaRecta_t33m36_10s,P_flechaRectaDerecha_flechaRecta_t33m36_10s.jpg,P,MARIO_47min,2016.1,,0,train,518aa44e986c4ec9fd1411165de170f8,0,1,1,1,0,0,5,1,0,0,0,1
P_flechaRectaDerecha_flechaRecta_t33m49_93s,P_flechaRectaDerecha_flechaRecta_t33m49_93s.jpg,P,MARIO_47min,2029.93,,0,train,cd8f8e1709294313717bc39be0e783fd,0,0,1,1,1,0,3,0,0,0,0,2
P_flechaRectaDerecha_flechaRecta_t35m29_73s,P_flechaRectaDerecha_flechaRecta_t35m29_73s.jpg,P,MARIO_47min,2129.73,,1,train,966cf6bf679b5d1b6ac0f939598b7b9c,0,0,2,0,3,0,2,0,1,0,0,0
P_flechaRectaDerecha_flechaRecta_t36m02_05s,P_flechaRectaDerecha_flechaRecta_t36m02_05s.jpg,P,MARIO_47min,2162.05,,1,train,5dc8a4d1abd43d044c11071474dfa55b,0,0,0,1,2,0,5,1,0,0,0,1
P_flechaRectaDerecha_flechaRecta_t37m16_96s,P_flechaRectaDerecha_flechaRecta_t37m16_96s.jpg,P,MARIO_47min,2236.96,,1,train,5069c39482e2032c6f779b273b3eb798,0,0,1,1,0,0,3,1,0,0,0,1
